Name,Title,School ,Department
Jeremy Avigad,Professor of Philosophy,MCS,Mathematical Sciences
Steve Awodey,Professor of Philosophy,MCS,Mathematical Sciences
Manuel Blum,Bruce Nelson University Professor of Computer Science,MCS,Mathematical Sciences
Tom Bohman,"Alexander M. Knaster Professor, Department Head",MCS,Mathematical Sciences
Boris Bukh,Associate Professor,MCS,Mathematical Sciences
Clinton Conley,Associate Professor,MCS,Mathematical Sciences
Gerard Cornuejols,IBM University Professor of Operations Research,MCS,Mathematical Sciences
James Cummings,Professor,MCS,Mathematical Sciences
Irene Fonseca,"Kavčić-Moura University Professor of Mathematics, Director of Center for Nonlinear Analysis",MCS,Mathematical Sciences
Florian Frick,Assistant Professor,MCS,Mathematical Sciences
Alan Frieze,University Professor,MCS,Mathematical Sciences
Rami Grossberg,Professor,MCS,Mathematical Sciences
Yu Gu,Assistant Professor,MCS,Mathematical Sciences
William Hrusa,"Professor, Associate Department Head, Director of Graduate Studies",MCS,Mathematical Sciences
Gautam Iyer,Professor,MCS,Mathematical Sciences
David Kinderlehrer,"Alumni Professor of Mathematical Sciences, Professor of Materials Science and Engineering",MCS,Mathematical Sciences
Dmitry Kramkov,"Mellon College of Science Professor of Mathematical Finance, Director of Center for Computational Finance",MCS,Mathematical Sciences
Martin Larsson,Associate Professor,MCS,Mathematical Sciences
John Lehoczky,Professor of Statistics and Mathematics,MCS,Mathematical Sciences
Giovanni Leoni,Professor,MCS,Mathematical Sciences
"Po-Shen Loh",Associate Professor,MCS,Mathematical Sciences
Johannes Muhle-Karbe,Associate Professor,MCS,Mathematical Sciences
Wesley Pegden,Associate Professor,MCS,Mathematical Sciences
Robert Pego,Professor,MCS,Mathematical Sciences
Javier Pena,Professor of Operations Research,MCS,Mathematical Sciences
Agoston Pisztora,Associate Professor,MCS,Mathematical Sciences
Hayden Schaeffer,Associate Professor,MCS,Mathematical Sciences
Jack Schaeffer,Professor,MCS,Mathematical Sciences
Ernest Schimmerling,Professor,MCS,Mathematical Sciences
Steven Shreve,Orion Hoch University Professor of Mathematical Sciences,MCS,Mathematical Sciences
Dejan Slepcev,"Professor, Associate Director of Center for Nonlinear Analysis",MCS,Mathematical Sciences
Richard Statman,Professor,MCS,Mathematical Sciences
Shlomo Taasan,Professor,MCS,Mathematical Sciences
Ian Tice,Associate Professor,MCS,Mathematical Sciences
Tomasz Tkocz,Assistant Professor,MCS,Mathematical Sciences
Noel Walkington,Professor,MCS,Mathematical Sciences
Franziska Weber,Assistant Professor,MCS,Mathematical Sciences
Deborah Brandon,Associate Teaching Professor,MCS,Mathematical Sciences
Timothy Flaherty,Associate Teaching Professor,MCS,Mathematical Sciences
Irina Gheorghiciuc,Associate Teaching Professor,MCS,Mathematical Sciences
David Handron,Associate Teaching Professor,MCS,Mathematical Sciences
Jason Howell,"Associate Teaching Professor, Director of Undergraduate Studies",MCS,Mathematical Sciences
Gregory Johnson,Associate Teaching Professor,MCS,Mathematical Sciences
John Mackey,Teaching Professor,MCS,Mathematical Sciences
Daniela Mihai,Associate Teaching Professor,MCS,Mathematical Sciences
David Offner,Associate Teaching Professor,MCS,Mathematical Sciences
Alison Barth,Professor,MCS,Biological Sciences
Marcel Bruchez,Professor and Director of the Molecular Biosensor and Imaging Center,MCS,Biological Sciences
Dannie Durand,Associate Professor,MCS,Biological Sciences
Charles Ettensohn,Professor,MCS,Biological Sciences
Aryn Gittis,Associate Professor,MCS,Biological Sciences
Luisa Hiller,Associate Professor,MCS,Biological Sciences
Veronica Hinman,Professor and Department Head,MCS,Biological Sciences
Jonathan Jarvik,Associate Professor,MCS,Biological Sciences
Sandra Kuhlman,Associate Professor,MCS,Biological Sciences
Frederick Lanni,Associate Professor,MCS,Biological Sciences
Tina Lee,Associate Professor,MCS,Biological Sciences
Adam Linstedt,Professor,MCS,Biological Sciences
Antonio-Javier Lopez,Associate Professor,MCS,Biological Sciences
Brooke McCartney,Associate Professor,MCS,Biological Sciences
Charles McManus,Associate Professor,MCS,Biological Sciences
Jonathan Minden,Professor,MCS,Biological Sciences
Aaron Mitchell,Professor,MCS,Biological Sciences
Robert Murphy,"Professor and Head, Computational Biology Department",MCS,Biological Sciences
Gordon Rule,Professor,MCS,Biological Sciences
Russell Schwartz,Professor,MCS,Biological Sciences
John Woolford,"Professor and Co-director, CNAST",MCS,Biological Sciences
Eric Yttri,Assistant Professor,MCS,Biological Sciences
Huaiying Zhang,Assistant Professor,MCS,Biological Sciences
Yongxin Zhao,Assistant Professor,MCS,Biological Sciences
Daniel Brasier,Associate Teaching Professor and Assistant Department Head for Graduate Affairs,MCS,Biological Sciences
Maggie Braun,Teaching Professor and MCS Associate Dean for Undergraduate Affairs,MCS,Biological Sciences
Amy Burkert,Teaching Professor and Vice Provost for Education,MCS,Biological Sciences
Becki Campanaro,Assistant Teaching Professor,MCS,Biological Sciences
Jason DAntonio,"Assistant Teaching Professor and Director, Health Professions Program",MCS,Biological Sciences
Carrie Doonan,"Teaching Professor and Director, Undergraduate Laboratories",MCS,Biological Sciences
Emily Drill,Assistant Teaching Professor,MCS,Biological Sciences
Kenneth Hovis,Associate Teaching Professor and MCS Assistant Dean for Educational Initiatives,MCS,Biological Sciences
Natalie McGuier,Assistant Teaching Professor,MCS,Biological Sciences
Stephanie Wong-Noonan,Assistant Teaching Professor,MCS,Biological Sciences
John Alison,Assistant Professor,MCS,Physics
David Anderson,Associate Teaching Professor,MCS,Physics
Shelley Anna,Courtesy Professor,MCS,Physics
Axel Brandenburg,Adjunct Professor,MCS,Physics
Roy Briere,Professor,MCS,Physics
Hael Collins,Assistant Teaching Professor,MCS,Physics
Rupert Croft,Professor,MCS,Physics
Markus Deserno,Professor,MCS,Physics
Tiziana Di Matteo,Professor,MCS,Physics
Scott Dodelson,Professor and Department Head,MCS,Physics
Randall Feenstra,Professor,MCS,Physics
Stephen Garoff,Professor,MCS,Physics
Kunal Ghosh,Teaching Professor,MCS,Physics
